id,quid,question,answer,answer_type,choices,answer_word,facts
1,,"Take the last letters of each words in ""Camilo Becky Eliza Rebecca"" and concatenate them.",oyaa,TEXT,,,
2,,"Take the last letters of each words in ""Sandeep Graciela Jai Xiomara"" and concatenate them.",paia,TEXT,,,
3,,"Take the last letters of each words in ""Norma Timothy Willie Mathew"" and concatenate them.",ayew,TEXT,,,
4,,"Take the last letters of each words in ""Lorena Shana Priscilla Summer"" and concatenate them.",aaar,TEXT,,,
5,,"Take the last letters of each words in ""Yazmin Lea Rodrigo Sammy"" and concatenate them.",naoy,TEXT,,,
6,,"Take the last letters of each words in ""Britt Tamara Elvis Nayeli"" and concatenate them.",tasi,TEXT,,,
7,,"Take the last letters of each words in ""Paula Irina Laurel Maribel"" and concatenate them.",aall,TEXT,,,
8,,"Take the last letters of each words in ""Louise Mariano Laura Gerardo"" and concatenate them.",eoao,TEXT,,,
9,,"Take the last letters of each words in ""Ramona Lucy Gail Octavio"" and concatenate them.",aylo,TEXT,,,
10,,"Take the last letters of each words in ""Star Jude Rosemarie Raquel"" and concatenate them.",reel,TEXT,,,
11,,"Take the last letters of each words in ""Amy Ella Amilcar Roman"" and concatenate them.",yarn,TEXT,,,
12,,"Take the last letters of each words in ""Evan Ray Sofia Alonso"" and concatenate them.",nyao,TEXT,,,
13,,"Take the last letters of each words in ""Janette Stacey Ronny Kim"" and concatenate them.",eyym,TEXT,,,
14,,"Take the last letters of each words in ""Alina Alessandra Amina Bianca"" and concatenate them.",aaaa,TEXT,,,
15,,"Take the last letters of each words in ""Leigh Mindy Rocky Lex"" and concatenate them.",hyyx,TEXT,,,
16,,"Take the last letters of each words in ""Drew Jhon Jayden Cliff"" and concatenate them.",wnnf,TEXT,,,
17,,"Take the last letters of each words in ""Meagan Naomi Israel Marie"" and concatenate them.",nile,TEXT,,,
18,,"Take the last letters of each words in ""Tiara Araceli Michaela Genaro"" and concatenate them.",aiao,TEXT,,,
19,,"Take the last letters of each words in ""Sonya Eddy Carol Yung"" and concatenate them.",aylg,TEXT,,,
20,,"Take the last letters of each words in ""Marcy Gonzalez Alice Arlene"" and concatenate them.",yzee,TEXT,,,
21,,"Take the last letters of each words in ""Alonzo Dorothy Alfred Rodriguez"" and concatenate them.",oydz,TEXT,,,
22,,"Take the last letters of each words in ""Dorian Mayra Freddie Magaly"" and concatenate them.",naey,TEXT,,,
23,,"Take the last letters of each words in ""Tori Mariam Gaby Brayan"" and concatenate them.",imyn,TEXT,,,
24,,"Take the last letters of each words in ""Maritza Nana Loretta Eric"" and concatenate them.",aaac,TEXT,,,
25,,"Take the last letters of each words in ""Mercedes Adela Susana Rose"" and concatenate them.",saae,TEXT,,,
26,,"Take the last letters of each words in ""Claudia Cole Matthew Juan Pablo"" and concatenate them.",aewo,TEXT,,,
27,,"Take the last letters of each words in ""Kali Jeanette Tess Devin"" and concatenate them.",iesn,TEXT,,,
28,,"Take the last letters of each words in ""Jacky Socorro Mark Wanda"" and concatenate them.",yoka,TEXT,,,
29,,"Take the last letters of each words in ""Rosie Charlie Mick Jacquelyn"" and concatenate them.",eekn,TEXT,,,
30,,"Take the last letters of each words in ""Andrés Miles Ronaldo Melinda"" and concatenate them.",ssoa,TEXT,,,
31,,"Take the last letters of each words in ""Selina Tasha Jarrod Maddy"" and concatenate them.",aady,TEXT,,,
