id,quid,question,answer,answer_type,choices,answer_word,facts
0,,"A man is incarcerated in prison, and as his punishment he has to carry a one tonne bag of sand backwards and forwards across a field the size of a football pitch.  What is the one thing he can put in it to make it lighter?",E,MULTIPLE_CHOICE,"A) throw
B) bit
C) gallon
D) mouse
E) hole",,
1,,What gets smaller as it gets fuller?,C,MULTIPLE_CHOICE,"A) bit
B) put
C) hole
D) rice
E) unit",,
2,,"Whats weightless, visible to the naked eye, and when you put it in a barrel of water it will make the barrel lighter in weight. ?",C,MULTIPLE_CHOICE,"A) amoeba
B) vision
C) hole
D) hydride
E) canthus",,
3,,"what is weightless, and colorless. . but when put into a barrel the barrel weighs less.  what am i?",A,MULTIPLE_CHOICE,"A) hole
B) measuring
C) heft
D) color
E) gallon",,
4,,"What is lighter then a feather, can be seen by the naked eye, and when you put it into a barral, it makes it lighter?",A,MULTIPLE_CHOICE,"A) hole
B) find
C) dust
D) sclera
E) turn",,
5,,"I am always Hungery, I must always be Fed.  the finger i lick will soon turn red.  What am I?",D,MULTIPLE_CHOICE,"A) cyan
B) rust
C) maroon
D) flame
E) primary colour",,
6,,i have no life to live or die i have no legs to dance and no lungs to breathe yet i do all three what am i,A,MULTIPLE_CHOICE,"A) flame
B) motivation
C) songs
D) friends
E) aggravated assault",,
7,,You can't hear me but I'm not dead.  Who am I ??,B,MULTIPLE_CHOICE,"A) spiritualist
B) silence
C) hearing
D) sound
E) look",,
8,,What shrinks during the day but grows during the night?,E,MULTIPLE_CHOICE,"A) nightwork
B) root
C) shade
D) sigh
E) silence",,
9,,Say my name and I am no more.   What am I?,E,MULTIPLE_CHOICE,"A) fade into nothing
B) fade to black
C) what happened
D) where am I
E) silence",,
10,,No Sooner Spoken Than Broken  What Is It?,E,MULTIPLE_CHOICE,"A) being silent
B) knack
C) ulcer
D) wired
E) silence",,
11,,"What's so fragile that even when you say its name, you break it?",B,MULTIPLE_CHOICE,"A) dance music
B) silence
C) playoff
D) purpose
E) pierce",,
12,,"Weight in my belly,   Trees on my back,   Nails in my ribs,   Feet I do lack.    What am I?",D,MULTIPLE_CHOICE,"A) oliver
B) logger
C) platform
D) ship
E) screw thread",,
13,,what is half dry and half wet and it carries something and is being carred at the same time. ,D,MULTIPLE_CHOICE,"A) attitude
B) salt
C) place
D) ship
E) free",,
14,,"I fly to any foreign parts,      Assisted by my spreading wings:      My body holds an hundred hearts,      Nay, I will tell you stranger things:       When I am not in haste I ride,      And then I mend my pace anon;      I issue fire out from my side:--      Ye witty youths, this riddle con. ",C,MULTIPLE_CHOICE,"A) kook
B) spy
C) ship
D) shell
E) command",,
