id,quid,question,true_answer,llm_answer,correct,llm_answer_chosen,reward_method,reward_score
0,,"A man is incarcerated in prison, and as his punishment he has to carry a one tonne bag of sand backwards and forwards across a field the size of a football pitch.  What is the one thing he can put in it to make it lighter?",E,E,True,,,
1,,What gets smaller as it gets fuller?,C,C,True,,,
2,,"Whats weightless, visible to the naked eye, and when you put it in a barrel of water it will make the barrel lighter in weight. ?",C,C,True,,,
3,,"what is weightless, and colorless. . but when put into a barrel the barrel weighs less.  what am i?",A,A,True,,,
4,,"What is lighter then a feather, can be seen by the naked eye, and when you put it into a barral, it makes it lighter?",A,A,True,,,
5,,"I am always Hungery, I must always be Fed.  the finger i lick will soon turn red.  What am I?",D,D,True,,,
6,,i have no life to live or die i have no legs to dance and no lungs to breathe yet i do all three what am i,A,C,False,,,
7,,You can't hear me but I'm not dead.  Who am I ??,B,B,True,,,
8,,What shrinks during the day but grows during the night?,E,C,False,,,
9,,Say my name and I am no more.   What am I?,E,E,True,,,
10,,No Sooner Spoken Than Broken  What Is It?,E,A,False,,,
11,,"What's so fragile that even when you say its name, you break it?",B,B,True,,,
12,,"Weight in my belly,   Trees on my back,   Nails in my ribs,   Feet I do lack.    What am I?",D,D,True,,,
13,,what is half dry and half wet and it carries something and is being carred at the same time. ,D,D,True,,,
14,,"I fly to any foreign parts,      Assisted by my spreading wings:      My body holds an hundred hearts,      Nay, I will tell you stranger things:       When I am not in haste I ride,      And then I mend my pace anon;      I issue fire out from my side:--      Ye witty youths, this riddle con. ",C,C,True,,,
15,,I twist and turn and leaves a loop.  What am I?,E,E,True,,,
16,,"the old one runs forever, it has no voice at all.  It had no lungs or throat, but it can still make a roaring call.  What is it?",D,D,True,,,
17,,What kind of fall that you might die from?,A,A,True,,,
18,,"Bright as diamonds, Loud as thunder, Never still, A thing of wonder.  What am I?",E,E,True,,,
19,,"I run, though I have no legs to be seen.  I possess no heat, though I do have steam.  I have no voice to let words out, but from far away you can still he me shout.   What am I?",A,D,False,,,
20,,"Six legs, two heads, two hands, one long nose yet i use only four legs wherever i go what am i ??",C,C,True,,,
21,,"What does no man want, yet no man want to lose?",A,D,False,,,
22,,What can be heard and caught but never be seen?,E,D,False,,,
23,,"I light on fire, I drip but I burn.  What am I?",B,B,True,,,
24,,If you allow me to live I shall not live long.   But if you kill me I shall live longer,A,A,True,,,
25,,"I cry, yet I have no eyes.  Darkness follows me, yet you still see me.  What am I?",E,C,False,,,
26,,"Little Nanncy Etticoat,  In a white petticoat,  And a red nose.   The longer she stands,  The sharter she grows. ",B,B,True,,,
27,,"I shed my skin for you, in darkness I guide you through.  To use me for what I am combine me with God's wrath or hand. ",E,E,True,,,
28,,I am easy to get into but hard to get out of.   What am I?,C,C,True,,,
29,,I can be crystal clear But also pitch black.  people like me when i am as clear as the fresh air.  You can find me just about everywhere.  Besides the desert.  im very important to have.  any living thing can not live without me.  in very hot places im so desirable.  i come in jug containers or you can find me running through pipes.  What am i?,D,D,True,,,
30,,"Three lives have I.    Gentle enough to soothe the skin,   Light enough to caress the sky,   Hard enough to crack rocks.   What am I?",E,E,True,,,
31,,What can you put into a glass but can't take out?,E,E,True,,,
32,,"what is clear, but easily gets dirty.  it is sometimes hard, but mostly not.  somethings can live in it, but if we do well die.  it might not sound important, but yes it is, and without it there will bbe no life. ",C,C,True,,,
33,,Say silk five times fast.    Spell silk.    What do cows drink?,D,D,True,,,
34,,"Black within and red without,  With four corners round and about.   What is it?",B,C,False,,,
35,,"I'm green most of the time  Multicolored sometimes, gone others  I hate the cold  I have many twin brothers and sisters  I have one parent with many arms  My parent can't move.   What am I?",A,A,True,,,
36,,an i dance and i am all over the world,D,E,False,,,
37,,"I am around when the days get short, and the nights long.  I am everywhere that you can see.  I scream undertoe when you walk over me.  What am I?",E,E,True,,,
38,,"Walk on the living, they don't even mumble.  Walk on the dead, they mutter and grumble.  What are they?",A,A,True,,,
39,,I work when i play and play when i work what am i ??,D,D,True,,,
40,,The older they are the less wrinkles they have. ,E,B,False,,,
41,,"What always was, yet I can never be?",E,E,True,,,
42,,Whats the one thing we have all seen and we'll never see again?,E,E,True,,,
43,,What did Sir Lancelot wear to bed?,B,C,False,,,
44,,"I am the heart that does not beat.  If cut, I bleed without blood.  I can fly, but have no wings.  I can float, but have no fins.  I can sing, but have no mouth. ",E,E,True,,,
45,,I am the center of gravity  and the start of all views.   I am in lives but not in deaths.   I am similar to see   even though I am less than three,B,B,True,,,
46,,"With thieves I consort,   With the vilest, in short,   I'm quite at ease in depravity;   Yet all divines use me,   And savants can't lose me,   For I am the center of gravity",A,A,True,,,
47,,What is the center of gravity?,C,C,True,,,
48,,They cut doors in half and wear wooden shoes. ,A,A,True,,,
49,,You throw away the outside then cook the inside  Then you eat the outside then throw away the inside               What am I?,C,C,True,,,
50,,What can be broken without touching it?,A,A,True,,,
51,,What can you break without hitting or dropping it?,E,E,True,,,
52,,You can't keep this without giving it first?,D,C,False,,,
53,,"The cost of making only the maker knows,   Valueless if bought, but sometimes traded.    A poor man may give one as easily as a king.    When one is broken pain and deceit are assured. ",B,B,True,,,
54,,What do you give to others but still try and keep?,C,C,True,,,
55,,"Two bodies have I,   though both joined in one.    The more still I stand,   the quicker I run.     What am I?",A,A,True,,,
56,,"My first is a part of the day,   My last a conductor of light, My whole to take measure of time, Is useful by day and by night.  What am I?",C,C,True,,,
57,,A sundial is the timepiece with the least amount of moving parts.   What is the timepiece with the greatest amount of moving parts?,A,B,False,,,
58,,What is black and white and read all over?,A,A,True,,,
59,,"black within and read without,   with four corners round about,   what am I",A,A,True,,,
60,,what fo people like to read,E,C,False,,,
61,,what goes up the stairs black and white and comes back down the stairs red?,A,A,True,,,
62,,i am a paper with that you get every day or week i come in a paper bin what am i ?,D,D,True,,,
